source_sheet,source_row_id,project_scope,language,source_layer,code_family,code,label_en,label_cn,keyword_original,keyword_translation_or_note,current_pipeline_status,reviewer,review_decision,keyword_final,notes,reviewed_at
Chinese,92,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,时间短,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,时间短,,2026-06-18
Chinese,93,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,不能用,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不能用,,2026-06-18
Chinese,94,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,暂停,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,暂停,,2026-06-18
Chinese,95,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,opening_hours_availability,Opening Hours / Availability,開放時間/可用性,停业,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,停业,,2026-06-18
Chinese,96,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,时间不够,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,时间不够,,2026-06-18
Chinese,97,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,花时间,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,花时间,,2026-06-18
Chinese,98,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,耗时,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,耗时,,2026-06-18
Chinese,99,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,没什么,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,,2026-06-18
Chinese,100,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,没什么看,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,没什么看,,2026-06-18
Chinese,101,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,不值得,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,不值得,,2026-06-18
Chinese,102,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,行程,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,delete,,,2026-06-18
Chinese,103,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,绕路,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,绕路,,2026-06-18
Chinese,104,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,难安排,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,No change,难安排,,2026-06-18
Chinese,105,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,itinerary_fit_time_cost,Itinerary Fit / Time & Cost,行程安排/時間與成本,小众,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,FIX,小众行程,,2026-06-18
Chinese,106,cross_language_tourism_side_project,Chinese,Xiaohongshu titles now; note bodies later if collected,friction,accessibility_mobility,Accessibility / Mobility,無障礙設施/行動便利性,楼梯,Existing Chinese social friction keyword,currently_used_for_chinese_social_friction,Lynn,FIX,都是楼梯,,2026-06-18
